"","IntDate","HousehldID","RprtSrc","Valid","AnimalsDead","AnimalsSick","CowsDied","GoatsDied","SheepDied","ChickenDied","ChicksDied","CowSick","GoatsSick","SheepSick"
"33",2015-01-28,"10-112-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"34",2013-03-19,"10-115-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"35",2013-04-16,"10-115-2","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"36",2013-07-01,"10-115-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"37",2013-07-23,"10-115-2","Household Interviews",1,"0","1","0","0","0","0","0","0","0","1"
"38",2014-03-18,"10-115-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"39",2014-10-19,"10-119-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"40",2014-11-29,"10-119-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"41",2015-01-13,"10-119-10","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"42",2015-01-24,"10-119-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"43",2015-01-28,"10-119-10","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"44",2015-02-07,"10-119-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"45",2013-03-22,"10-119-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"46",2013-05-17,"10-119-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"47",2013-10-04,"10-119-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"48",2013-09-30,"10-119-9","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"49",2014-05-04,"10-119-9","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"50",2014-06-14,"10-119-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"51",2014-06-30,"10-119-9","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"52",2014-08-10,"10-119-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"53",2014-10-04,"10-119-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"54",2014-03-21,"10-120-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"55",2014-03-25,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"56",2014-04-17,"10-120-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"57",2014-04-22,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"58",2014-05-06,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"59",2014-05-17,"10-120-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"60",2014-05-20,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"61",2014-05-29,"10-120-4","Toll Free Number",1,"0","0","0","0","0","0","0","0","0","0"
"62",2014-06-03,"10-120-4","Household Interviews",1,"1","1","0","0","1","0","0","0","1","0"
"63",2014-07-01,"10-120-4","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"64",2014-07-15,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"65",2014-07-23,"10-120-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"66",2014-07-29,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"67",2014-08-08,"10-120-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"68",2014-08-12,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"69",2014-09-09,"10-120-4","Household Interviews",1,"0","0","0","0","0","0","0","0","0","0"
"70",2014-10-07,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"71",2014-10-21,"10-120-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"72",2014-10-25,"10-120-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"73",2014-11-04,"10-120-4","Household Interviews",1,"1","0","1","0","0","0","0","0","0","0"
"74",2014-11-12,"10-120-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"75",2014-11-18,"10-120-4","Household Interviews",1,"1","0","0","0","1","0","0","0","0","0"
"76",2013-11-27,"10-120-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"77",2013-04-17,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"78",2013-05-26,"10-120-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"79",2013-06-12,"10-120-5","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"80",2013-05-29,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"81",2013-10-02,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"82",2013-06-03,"10-120-5","Toll Free Number",1,"0","0","0","0","0","0","0","0","0","0"
"83",2013-06-26,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"84",2013-07-24,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"85",2013-08-21,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"86",2013-11-05,"10-120-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"87",2013-11-07,"10-120-5","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"88",2013-12-27,"10-120-5","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"89",2014-01-28,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"90",2014-02-25,"10-120-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"91",2014-02-11,"10-120-5","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"92",2013-05-09,"10-121-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"93",2014-02-14,"10-121-4","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"94",2014-02-28,"10-121-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"95",2013-05-23,"10-121-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"96",2014-10-10,"10-121-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"97",2015-01-30,"10-121-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"98",2013-10-19,"10-124-3","Household Interviews",0,"1","99","1","1","0","0","0","0","0","0"
"99",2013-10-12,"10-124-3","Toll Free Number",1,"1","0","0","1","0","0","0","0","0","0"
"100",2014-09-20,"10-124-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"101",2013-06-12,"10-126-7","Household Interviews",1,"1","0","0","0","1","0","0","0","0","0"
"102",2013-05-29,"10-126-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"103",2013-06-05,"10-126-7","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"104",2013-06-29,"10-126-7","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"105",2013-08-05,"10-126-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"106",2013-07-19,"10-126-7","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"107",2013-07-24,"10-126-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"108",2013-08-21,"10-126-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"109",2013-10-31,"10-126-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"110",2013-11-13,"10-126-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"111",2013-12-11,"10-126-7","Household Interviews",1,"1","0","1","0","0","0","0","0","0","0"
"112",2014-03-22,"10-126-7","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"113",2014-04-22,"10-126-7","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"114",2014-05-20,"10-126-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"115",2014-07-15,"10-126-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"116",2014-07-29,"10-126-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"117",2013-04-17,"10-126-8","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"118",2014-05-02,"10-128-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"119",2014-05-16,"10-128-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"120",2014-08-05,"10-128-5","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"121",2014-09-25,"10-128-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"122",2014-10-03,"10-128-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"123",2014-12-12,"10-128-5","Household Interviews",1,"1","0","0","0","1","0","0","0","0","0"
"124",2013-12-06,"10-128-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"125",2013-03-15,"10-128-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"126",2013-05-24,"10-128-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"127",2013-09-27,"10-128-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"128",2013-10-23,"10-128-7","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"129",2013-11-21,"10-128-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"130",2014-01-30,"10-128-7","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"131",2014-03-03,"10-128-7","Toll Free Number",1,"0","0","0","0","0","0","0","0","0","0"
"132",2014-03-07,"10-128-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"133",2014-11-14,"10-128-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"134",2013-03-01,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"135",2013-05-24,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"136",2013-09-13,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"137",2014-01-10,"10-129-5","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"138",2014-01-24,"10-129-5","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"139",2013-02-16,"10-129-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"140",2014-01-09,"10-129-5","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"141",2014-05-02,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"142",2014-06-06,"10-129-5","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"143",2014-07-25,"10-129-5","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"144",2014-11-14,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"145",2014-11-28,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"146",2015-01-13,"10-129-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"147",2015-02-06,"10-129-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"148",2015-01-26,"10-129-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"149",2013-08-30,"10-13-1","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"150",2013-09-05,"10-13-1","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"151",2013-09-14,"10-13-1","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"152",2013-07-04,"10-13-1","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"153",2013-04-19,"10-135-5","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"154",2013-05-17,"10-135-5","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"155",2013-06-16,"10-135-5","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"156",2013-06-17,"10-135-5","Toll Free Number",1,"1","0","0","1","0","0","0","0","0","0"
"157",2013-06-28,"10-135-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"158",2013-02-21,"10-138-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"159",2013-03-21,"10-138-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"160",2013-05-16,"10-138-2","Household Interviews",1,"1","1","1","0","0","0","0","1","0","0"
"161",2013-09-02,"10-138-2","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"162",2013-12-01,"10-138-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"163",2014-07-04,"10-138-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"164",2014-07-11,"10-138-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"165",2015-01-19,"10-138-2","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"166",2015-01-29,"10-138-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"167",2014-08-29,"10-139-2","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"168",2014-03-25,"10-139-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"169",2014-04-09,"10-139-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"170",2014-04-10,"10-139-4","Toll Free Number",1,"1","0","0","1","0","0","0","0","0","0"
"171",2014-05-20,"10-139-4","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"172",2014-07-28,"10-139-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"173",2014-07-29,"10-139-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"174",2013-10-01,"10-14-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"175",2013-03-19,"10-14-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"176",2013-04-30,"10-14-4","Household Interviews",1,"0","1","0","0","0","0","0","0","1","0"
"177",2014-02-11,"10-14-4","Household Interviews",1,"0","1","0","0","0","0","0","0","1","0"
"178",2014-02-24,"10-14-4","Toll Free Number",1,"1","0","0","1","0","0","0","0","0","0"
"179",2014-03-11,"10-14-4","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"180",2013-05-14,"10-141-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"181",2014-01-29,"10-141-10","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"182",2014-03-05,"10-141-10","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"183",2014-03-11,"10-141-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"184",2013-02-18,"10-141-12","Toll Free Number",1,"1","0","0","0","0","1","0","0","0","0"
"185",2014-03-25,"10-141-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"186",2014-07-29,"10-141-9","Household Interviews",1,"0","1","0","0","0","0","0","0","1","0"
"187",2014-04-05,"10-142-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"188",2014-04-18,"10-142-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"189",2014-05-22,"10-142-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"190",2013-04-02,"10-146-5","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"191",2013-04-12,"10-146-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"192",2013-03-01,"10-146-6","Household Interviews",1,"1","0","0","0","0","1","0","0","0","0"
"193",2013-04-19,"10-149-2","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"194",2013-11-15,"10-149-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"195",2014-09-11,"10-149-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"196",2014-09-26,"10-149-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"197",2014-10-09,"10-149-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"198",2014-01-06,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"199",2014-01-18,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"200",2014-02-16,"10-15-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"201",2014-04-22,"10-15-2","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"202",2014-06-13,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"203",2014-06-17,"10-15-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"204",2014-07-11,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"205",2014-07-15,"10-15-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"206",2014-08-02,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"207",2014-10-07,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"208",2014-11-04,"10-15-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"209",2014-11-04,"10-15-2","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"210",2014-11-14,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"211",2014-11-15,"10-15-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"212",2014-12-11,"10-15-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"213",2013-03-19,"10-150-8","Household Interviews",1,"0","1","0","0","0","0","0","0","1","0"
"214",2013-04-16,"10-150-8","Household Interviews",0,"0","1","0","0","0","0","0","0","0","0"
"215",2013-05-14,"10-150-8","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"216",2013-05-28,"10-150-8","Household Interviews",1,"0","0","0","0","0","0","0","0","0","0"
"217",2013-08-20,"10-150-8","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"218",2014-06-03,"10-150-8","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"219",2014-06-11,"10-150-8","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"220",2013-04-02,"10-150-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"221",2013-12-10,"10-150-9","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"222",2013-09-17,"10-150-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"223",2013-03-28,"10-151-3","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"224",2013-04-21,"10-151-3","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"225",2013-04-25,"10-151-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"226",2013-05-23,"10-151-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"227",2014-10-30,"10-151-3","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"228",2014-11-07,"10-151-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"229",2013-06-13,"10-154-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"230",2013-07-24,"10-154-4","Household Interviews",1,"0","0","0","0","0","0","0","0","0","0"
"231",2013-07-26,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"232",2013-08-11,"10-154-4","Toll Free Number",1,"0","0","0","0","0","0","0","0","0","0"
"233",2013-08-21,"10-154-4","Household Interviews",1,"0","0","0","0","0","0","0","0","0","0"
"234",2014-01-24,"10-154-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"235",2014-02-09,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"236",2014-02-12,"10-154-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"237",2014-04-11,"10-154-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"238",2014-04-16,"10-154-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"239",2014-05-21,"10-154-4","Household Interviews",1,"0","1","0","0","0","0","0","0","0","1"
"240",2014-05-26,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"241",2014-06-04,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"242",2014-06-16,"10-154-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"243",2014-06-18,"10-154-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"244",2014-06-23,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"245",2014-06-30,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"246",2014-08-19,"10-154-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"247",2014-08-27,"10-154-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"248",2014-09-01,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"249",2014-10-06,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"250",2014-10-21,"10-154-4","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"251",2014-10-22,"10-154-4","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"252",2014-11-22,"10-154-4","Toll Free Number",1,"0","1","0","0","0","0","0","0","0","1"
"253",2014-01-15,"10-154-6","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"254",2014-07-02,"10-154-6","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"255",2013-06-07,"10-155-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"256",2013-06-05,"10-155-2","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"257",2014-01-04,"10-155-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"258",2014-01-10,"10-155-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"259",2014-07-30,"10-155-2","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"260",2014-09-15,"10-155-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"261",2014-11-29,"10-155-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"262",2013-05-15,"10-159-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"263",2013-05-24,"10-159-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"264",2013-06-07,"10-159-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"265",2013-06-12,"10-159-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"266",2013-06-21,"10-159-2","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"267",2013-11-06,"10-159-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"268",2013-11-08,"10-159-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"269",2013-12-20,"10-159-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"270",2014-03-25,"10-159-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"271",2014-04-04,"10-159-2","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"272",2014-06-23,"10-159-2","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"273",2014-06-30,"10-159-2","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"274",2014-10-31,"10-159-2","Household Interviews",1,"1","0","1","0","0","0","0","0","0","0"
"275",2013-02-19,"10-16-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"276",2013-04-30,"10-16-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"277",2013-05-28,"10-16-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"278",2014-01-17,"10-16-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"279",2014-01-28,"10-16-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"280",2014-02-16,"10-16-5","Toll Free Number",0,"99","99","0","0","0","0","0","0","0","0"
"281",2014-04-20,"10-16-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"282",2014-04-22,"10-16-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"283",2014-06-17,"10-16-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"284",2014-10-29,"10-16-5","Toll Free Number",1,"1","0","0","0","0","1","0","0","0","0"
"285",2014-04-14,"10-161-3","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
